num,detail,原生,替代
FB1,FB1 花椰菜 青梗,青花菜,菜豆
FB9,FB9 花椰菜 進口,花椰菜,"胡瓜,青花菜"
FC1,FC1 胡瓜 黑刺,胡瓜,"豌豆,青花菜,菜豆,花椰菜"
FF1,FF1 絲瓜,絲瓜,茄子
FH4,FH4 扁蒲 梨子蒲,扁蒲,"毛豆,菜豆,青花菜,金針花,豌豆,南瓜,花椰菜,胡瓜,茄子,絲瓜"
FI2,FI2 茄子 麻荸茄,茄子,"絲瓜,金針花"
FJ3,FJ3 番茄 牛番茄,番茄,"毛豆,菜豆,青花菜,金針花,豌豆,南瓜,花椰菜,胡瓜,茄子,絲瓜"
FK4,FK4 甜椒 彩色種,甜椒,"毛豆,菜豆,青花菜,金針花,豌豆,南瓜,花椰菜,胡瓜,茄子,絲瓜"
FL3,FL3 豌豆 豆莢,豌豆,"青花菜,菜豆"
FQ1,FQ1 毛豆 豆莢,毛豆,"茄子,絲瓜,金針花"
FT1,FT1 南瓜 木瓜形,南瓜,"青花菜,菜豆"
FV2,FV2 辣椒 青小,辣椒,"毛豆,菜豆,青花菜,金針花,豌豆,南瓜,花椰菜,胡瓜,茄子,絲瓜"
FM2,FM2 菜豆 青色,菜豆,
FW1,FW1 金針花,金針花,
